quote,author,tags,combined
"“what is an ""instant"" death anyway? how long is an instant? is it one second? ten? the pain of those seconds must have been awful as her heart burst and her lungs collapsed and there was no air and no blood to her brain and only raw panic. what the hell is instant? nothing is instant. instant rice takes five minutes, instant pudding an hour. i doubt that an instant of blinding pain feels particularly instantaneous.”","john green,",['looking-for-alaska'],"“what is an ""instant"" death anyway? how long is an instant? is it one second? ten? the pain of those seconds must have been awful as her heart burst and her lungs collapsed and there was no air and no blood to her brain and only raw panic. what the hell is instant? nothing is instant. instant rice takes five minutes, instant pudding an hour. i doubt that an instant of blinding pain feels particularly instantaneous.” - john green, [looking-for-alaska]"
"“i am not sure exactly what heaven will be like, but i know that when we die and it comes time for god to judge us, he will not ask, 'how many good things have you done in your life?' rather he will ask, 'how much love did you put into what you did?”",mother teresa,"['inspirational', 'love']","“i am not sure exactly what heaven will be like, but i know that when we die and it comes time for god to judge us, he will not ask, 'how many good things have you done in your life?' rather he will ask, 'how much love did you put into what you did?” - mother teresa [inspirational, love]"
“to be a christian means to forgive the inexcusable because god has forgiven the inexcusable in you.”,c.s. lewis,"['christianity', 'forgiveness', 'god']","“to be a christian means to forgive the inexcusable because god has forgiven the inexcusable in you.” - c.s. lewis [christianity, forgiveness, god]"
"“in the case of good books, the point is not to see how many of them you can get through, but rather how many can get through to you.”",mortimer j. adler,"['books', 'reading']","“in the case of good books, the point is not to see how many of them you can get through, but rather how many can get through to you.” - mortimer j. adler [books, reading]"
"“she is too fond of books, and it has turned her brain.”","louisa may alcott,",['books'],"“she is too fond of books, and it has turned her brain.” - louisa may alcott, [books]"
"“you haven't got a letter on yours,"" george observed. ""i suppose she thinks you don't forget your name. but we're not stupid-we know we're called gred and forge.”","j.k. rowling,",['humor'],"“you haven't got a letter on yours,"" george observed. ""i suppose she thinks you don't forget your name. but we're not stupid-we know we're called gred and forge.” - j.k. rowling, [humor]"
"“will looked horrified. ""what kind of monster could possibly hate chocolate?”","cassandra clare,","['chocolate', 'monsters']","“will looked horrified. ""what kind of monster could possibly hate chocolate?” - cassandra clare, [chocolate, monsters]"
“no medicine cures what happiness cannot.”,gabriel garcã­a mã¡rquez,['happiness'],“no medicine cures what happiness cannot.” - gabriel garcã­a mã¡rquez [happiness]
"“it's a metaphor, see: you put the killing thing right between your teeth, but you don't give it the power to do its killing.”","john green,","['john-green', 'the-fault-in-our-stars']","“it's a metaphor, see: you put the killing thing right between your teeth, but you don't give it the power to do its killing.” - john green, [john-green, the-fault-in-our-stars]"
"“i am a badass, and i recognize that you, too, are a badass.”",cassandra clare,['simon'],"“i am a badass, and i recognize that you, too, are a badass.” - cassandra clare [simon]"
"“because nerds like us are allowed to be unironically enthusiastic about stuff. nerds are allowed to love stuff, like jump-up-and-down-in-the-chair-canâ€™t-control-yourself love it. hank, when people call people nerds, mostly what theyâ€™re saying is â€˜you like stuff.â€™ which is just not a good insult at all. like, â€˜you are too enthusiastic about the miracle of human consciousnessâ€™.”",john green,['nerdfighters'],"“because nerds like us are allowed to be unironically enthusiastic about stuff. nerds are allowed to love stuff, like jump-up-and-down-in-the-chair-canâ€™t-control-yourself love it. hank, when people call people nerds, mostly what theyâ€™re saying is â€˜you like stuff.â€™ which is just not a good insult at all. like, â€˜you are too enthusiastic about the miracle of human consciousnessâ€™.” - john green [nerdfighters]"
"“donâ€™t waste your time in anger, regrets, worries, and grudges. life is too short to be unhappy.”",roy t. bennett,"['anger', 'grudge', 'happiness', 'happy', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'regret', 'time', 'worry']","“donâ€™t waste your time in anger, regrets, worries, and grudges. life is too short to be unhappy.” - roy t. bennett [anger, grudge, happiness, happy, inspiration, inspirational, inspirational-quotes, inspire, inspiring, life, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, regret, time, worry]"
“fiction is the truth inside the lie.”,stephen king,['writing'],“fiction is the truth inside the lie.” - stephen king [writing]
"“the town was paper, but the memories were not.”","john green,",['memories'],"“the town was paper, but the memories were not.” - john green, [memories]"
"“the fact that we live at the bottom of a deep gravity well, on the surface of a gas covered planet going around a nuclear fireball 90 million miles away and think this to be normal is obviously some indication of how skewed our perspective tends to be.”","douglas adams,","['humor', 'perspective', 'science']","“the fact that we live at the bottom of a deep gravity well, on the surface of a gas covered planet going around a nuclear fireball 90 million miles away and think this to be normal is obviously some indication of how skewed our perspective tends to be.” - douglas adams, [humor, perspective, science]"
“my nightmares are usually about losing you. i'm okay once i realize you're here.”,"suzanne collins,",['romantic'],"“my nightmares are usually about losing you. i'm okay once i realize you're here.” - suzanne collins, [romantic]"
